,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,,,,,,,,,,,,,,,,
Jordan,Jordan Poole,Poole,29.6,5,6700,WAS@PHI,WAS,PHI,,,,,,PG/SG,,,,,,,,,,,,,,,,
Devin,Devin Vassell,Vassell,28.779998779296900,5,6700,SA@IND,SA,IND,GTD,Groin,,,,SG,,,,,,,,,,,,,,,,
Ausar,Ausar Thompson,Thompson,36.142857142857100,7,6600,GS@DET,DET,GS,,,,,,SG,,,,,,,,,,,,,,,,
Spencer,Spencer Dinwiddie,Dinwiddie,24.060000610351600,5,6600,MIL@BKN,BKN,MIL,,,,,,PG/SG,,,,,,,,,,,,,,,,
Zach,Zach Collins,Collins,32.53333282470700,6,6600,SA@IND,SA,IND,,,,,,PF/C,,,,,,,,,,,,,,,,
Jalen,Jalen Green,Green,26.339999389648400,5,6500,SAC@HOU,HOU,SAC,,,,,,PG/SG,,,,,,,,,,,,,,,,
Keegan,Keegan Murray,Murray,29.339999389648400,5,6500,SAC@HOU,SAC,HOU,,,,,,SF/PF,,,,,,,,,,,,,,,,
Draymond,Draymond Green,Green,29.639999389648400,5,6400,GS@DET,GS,DET,,,,,,PF/C,,,,,,,,,,,,,,,,
John,John Collins,Collins,29.771427699497800,7,6300,UTA@CHI,UTA,CHI,,,,,,PF/C,,,,,,,,,,,,,,,,
Michael,Michael Porter,Porter,30.642857142857100,7,6300,NO@DEN,DEN,NO,,,,,,SF,,,,,,,,,,,,,,,,
Jordan,Jordan Clarkson,Clarkson,25.08571515764510,7,6200,UTA@CHI,UTA,CHI,,,,,,PG/SG,,,,,,,,,,,,,,,,
Mitchell,Mitchell Robinson,Robinson,27.816665649414100,6,6200,LAC@NY,NY,LAC,,,,,,C,,,,,,,,,,,,,,,,
Jabari,Jabari Smith,Smith,29.160000610351600,5,6200,SAC@HOU,HOU,SAC,,,,,,PF,,,,,,,,,,,,,,,,
RJ,RJ Barrett,Barrett,28.350000381469700,4,6200,LAC@NY,NY,LAC,GTD,Knee,,,,SF,,,,,,,,,,,,,,,,
Jalen,Jalen Johnson,Johnson,30.833333333333300,6,6100,ATL@OKC,ATL,OKC,,,,,,SF/PF,,,,,,,,,,,,,,,,
Jeremy,Jeremy Sochan,Sochan,25.51666768391930,6,6100,SA@IND,SA,IND,,,,,,PG/PF,,,,,,,,,,,,,,,,
Clint,Clint Capela,Capela,29.53333282470700,6,6100,ATL@OKC,ATL,OKC,,,,,,C,,,,,,,,,,,,,,,,
Kelly,Kelly Oubre,Oubre,31,5,6100,WAS@PHI,PHI,WAS,,,,,,SG/SF,,,,,,,,,,,,,,,,
Austin,Austin Reaves,Reaves,24.5500005086263,6,6000,LAL@MIA,LAL,MIA,,,,,,SG/SF,,,,,,,,,,,,,,,,
Aaron,Aaron Gordon,Gordon,31.24285670689170,7,6000,NO@DEN,DEN,NO,,,,,,PF,,,,,,,,,,,,,,,,
Tyus,Tyus Jones,Jones,24.039999389648400,5,6000,WAS@PHI,WAS,PHI,,,,,,PG,,,,,,,,,,,,,,,,
Talen,Talen Horton-Tucker,Horton-Tucker,26.614286150251100,7,6000,UTA@CHI,UTA,CHI,,,,,,SG/SF,,,,,,,,,,,,,,,,
Onyeka,Onyeka Okongwu,Okongwu,24.066665649414100,6,6000,ATL@OKC,ATL,OKC,,,,,,C,,,,,,,,,,,,,,,,
Deni,Deni Avdija,Avdija,27.360000610351600,5,5900,WAS@PHI,WAS,PHI,GTD,Ankle,,,,SF/PF,,,,,,,,,,,,,,,,
Jalen,Jalen Suggs,Suggs,26.350001017252600,6,5900,DAL@ORL,ORL,DAL,,,,,,PG/SG,,,,,,,,,,,,,,,,
