entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions,,,,,,,,,,,,,,,,,
3216511591,95766-266667388,3-Player League ($5),95766-14523,95766-145348,95766-171760,95766-60233,95766-58153,95766-157851,95766-40199,95766-110995,95766-63122,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
,,,,,,,,,,,,,95766-110322:Jordan Poole,95766-110322,PG/SG,Jordan,Jordan Poole,Poole,29.6,5,6700,WAS@PHI,WAS,PHI,,,,,,PG/SG
,,,,,,,,,,,,,95766-145324:Devin Vassell,95766-145324,SG,Devin,Devin Vassell,Vassell,28.779998779296900,5,6700,SA@IND,SA,IND,GTD,Groin,,,,SG
,,,,,,,,,,,,,95766-188426:Ausar Thompson,95766-188426,SG,Ausar,Ausar Thompson,Thompson,36.142857142857100,7,6600,GS@DET,DET,GS,,,,,,SG
,,,,,,,,,,,,,95766-15542:Spencer Dinwiddie,95766-15542,SG/PG,Spencer,Spencer Dinwiddie,Dinwiddie,24.060000610351600,5,6600,MIL@BKN,BKN,MIL,,,,,,PG/SG
,,,,,,,,,,,,,95766-80815:Zach Collins,95766-80815,PF/C,Zach,Zach Collins,Collins,32.53333282470700,6,6600,SA@IND,SA,IND,,,,,,PF/C
,,,,,,,,,,,,,95766-157907:Jalen Green,95766-157907,SG/PG,Jalen,Jalen Green,Green,26.339999389648400,5,6500,SAC@HOU,HOU,SAC,,,,,,PG/SG
,,,,,,,,,,,,,95766-171787:Keegan Murray,95766-171787,SF/PF,Keegan,Keegan Murray,Murray,29.339999389648400,5,6500,SAC@HOU,SAC,HOU,,,,,,SF/PF
,,,,,,,,,,,,,95766-15860:Draymond Green,95766-15860,PF/C,Draymond,Draymond Green,Green,29.639999389648400,5,6400,GS@DET,GS,DET,,,,,,PF/C
,,,,,,,,,,,,,95766-66236:John Collins,95766-66236,PF/C,John,John Collins,Collins,29.771427699497800,7,6300,UTA@CHI,UTA,CHI,,,,,,PF/C
,,,,,,,,,,,,,95766-84682:Michael Porter,95766-84682,SF,Michael,Michael Porter,Porter,30.642857142857100,7,6300,NO@DEN,DEN,NO,,,,,,SF
,,,,,,,,,,,,,95766-20640:Jordan Clarkson,95766-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,25.08571515764510,7,6200,UTA@CHI,UTA,CHI,,,,,,PG/SG
,,,,,,,,,,,,,95766-84709:Mitchell Robinson,95766-84709,C,Mitchell,Mitchell Robinson,Robinson,27.816665649414100,6,6200,LAC@NY,NY,LAC,,,,,,C
,,,,,,,,,,,,,95766-171767:Jabari Smith,95766-171767,PF,Jabari,Jabari Smith,Smith,29.160000610351600,5,6200,SAC@HOU,HOU,SAC,,,,,,PF
,,,,,,,,,,,,,95766-110357:RJ Barrett,95766-110357,SF,RJ,RJ Barrett,Barrett,28.350000381469700,4,6200,LAC@NY,NY,LAC,GTD,Knee,,,,SF
,,,,,,,,,,,,,95766-157833:Jalen Johnson,95766-157833,SF/PF,Jalen,Jalen Johnson,Johnson,30.833333333333300,6,6100,ATL@OKC,ATL,OKC,,,,,,SF/PF
,,,,,,,,,,,,,95766-171749:Jeremy Sochan,95766-171749,PG/PF,Jeremy,Jeremy Sochan,Sochan,25.51666768391930,6,6100,SA@IND,SA,IND,,,,,,PG/PF
,,,,,,,,,,,,,95766-55059:Clint Capela,95766-55059,C,Clint,Clint Capela,Capela,29.53333282470700,6,6100,ATL@OKC,ATL,OKC,,,,,,C
,,,,,,,,,,,,,95766-58153:Kelly Oubre,95766-58153,SF/SG,Kelly,Kelly Oubre,Oubre,31,5,6100,WAS@PHI,PHI,WAS,,,,,,SG/SF
,,,,,,,,,,,,,95766-158136:Austin Reaves,95766-158136,SF/SG,Austin,Austin Reaves,Reaves,24.5500005086263,6,6000,LAL@MIA,LAL,MIA,,,,,,SG/SF
,,,,,,,,,,,,,95766-41594:Aaron Gordon,95766-41594,PF,Aaron,Aaron Gordon,Gordon,31.24285670689170,7,6000,NO@DEN,DEN,NO,,,,,,PF
,,,,,,,,,,,,,95766-58081:Tyus Jones,95766-58081,PG,Tyus,Tyus Jones,Jones,24.039999389648400,5,6000,WAS@PHI,WAS,PHI,,,,,,PG
,,,,,,,,,,,,,95766-110337:Talen Horton-Tucker,95766-110337,SG/SF,Talen,Talen Horton-Tucker,Horton-Tucker,26.614286150251100,7,6000,UTA@CHI,UTA,CHI,,,,,,SG/SF
,,,,,,,,,,,,,95766-145304:Onyeka Okongwu,95766-145304,C,Onyeka,Onyeka Okongwu,Okongwu,24.066665649414100,6,6000,ATL@OKC,ATL,OKC,,,,,,C
,,,,,,,,,,,,,95766-145539:Deni Avdija,95766-145539,SF/PF,Deni,Deni Avdija,Avdija,27.360000610351600,5,5900,WAS@PHI,WAS,PHI,GTD,Ankle,,,,SF/PF
,,,,,,,,,,,,,95766-157850:Jalen Suggs,95766-157850,SG/PG,Jalen,Jalen Suggs,Suggs,26.350001017252600,6,5900,DAL@ORL,ORL,DAL,,,,,,PG/SG
,,,,,,,,,,,,,95766-9621:Brook Lopez,95766-9621,C,Brook,Brook Lopez,Lopez,25.2,5,5900,MIL@BKN,MIL,BKN,,,,,,C
,,,,,,,,,,,,,95766-16261:Khris Middleton,95766-16261,SG/SF,Khris,Khris Middleton,Middleton,19.725000381469700,4,5900,MIL@BKN,MIL,BKN,,,,,,SG/SF
,,,,,,,,,,,,,95766-157848:Herbert Jones,95766-157848,SG/SF,Herbert,Herbert Jones,Jones,27.166666666666700,6,5800,NO@DEN,NO,DEN,,,,,,SG/SF
,,,,,,,,,,,,,95766-49675:Derrick White,95766-49675,PG/SG,Derrick,Derrick White,White,32.67499923706060,4,5800,BOS@MIN,BOS,MIN,GTD,Personal,,,,PG/SG
,,,,,,,,,,,,,95766-171777:Walker Kessler,95766-171777,C,Walker,Walker Kessler,Kessler,20.514286586216500,7,5800,UTA@CHI,UTA,CHI,,,,,,C
,,,,,,,,,,,,,95766-110338:De'Andre Hunter,95766-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,26.71666717529300,6,5800,ATL@OKC,ATL,OKC,,,,,,SF/PF
,,,,,,,,,,,,,95766-80805:Markelle Fultz,95766-80805,PG,Markelle,Markelle Fultz,Fultz,25.875,4,5800,DAL@ORL,ORL,DAL,GTD,Knee,,,,PG
,,,,,,,,,,,,,95766-145327:Cole Anthony,95766-145327,PG/SG,Cole,Cole Anthony,Anthony,26.383333841959600,6,5800,DAL@ORL,ORL,DAL,,,,,,PG/SG
,,,,,,,,,,,,,95766-70827:Ivica Zubac,95766-70827,C,Ivica,Ivica Zubac,Zubac,25.1,5,5700,LAC@NY,LAC,NY,,,,,,C
,,,,,,,,,,,,,95766-110316:Cameron Johnson,95766-110316,SF/PF,Cameron,Cameron Johnson,Johnson,26.5,1,5700,MIL@BKN,BKN,MIL,O,Calf,,,,SF/PF
,,,,,,,,,,,,,95766-60233:Dillon Brooks,95766-60233,SG/SF,Dillon,Dillon Brooks,Brooks,29.079998779296900,5,5700,SAC@HOU,HOU,SAC,,,,,,SG/SF
,,,,,,,,,,,,,95766-145323:Tre Jones,95766-145323,PG,Tre,Tre Jones,Jones,25.01666768391930,6,5700,SA@IND,SA,IND,,,,,,PG
,,,,,,,,,,,,,95766-188425:Dereck Lively,95766-188425,C,Dereck,Dereck Lively,Lively,24.8000005086263,6,5600,DAL@ORL,DAL,ORL,,,,,,C
,,,,,,,,,,,,,95766-23716:Kyle Anderson,95766-23716,SF/PF,Kyle,Kyle Anderson,Anderson,24.960000610351600,5,5600,BOS@MIN,MIN,BOS,,,,,,SF/PF
,,,,,,,,,,,,,95766-111273:Luguentz Dort,95766-111273,SF/SG,Luguentz,Luguentz Dort,Dort,24.933334350585900,6,5600,ATL@OKC,OKC,ATL,,,,,,SG/SF
,,,,,,,,,,,,,95766-145307:Isaiah Stewart,95766-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,22.728572300502200,7,5600,GS@DET,DET,GS,,,,,,PF/C
,,,,,,,,,,,,,95766-145348:Immanuel Quickley,95766-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,24.833333333333300,6,5600,LAC@NY,NY,LAC,,,,,,PG/SG
,,,,,,,,,,,,,95766-110995:Naz Reid,95766-110995,C/PF,Naz,Naz Reid,Reid,23.719999694824200,5,5500,BOS@MIN,MIN,BOS,,,,,,PF/C
,,,,,,,,,,,,,95766-15846:Tim Hardaway,95766-15846,SG/SF,Tim,Tim Hardaway,Hardaway,25.100001017252600,6,5500,DAL@ORL,DAL,ORL,,,,,,SG/SF
,,,,,,,,,,,,,95766-80816:Malik Monk,95766-80816,SG/PG,Malik,Malik Monk,Monk,26.73999938964840,5,5500,SAC@HOU,SAC,HOU,,,,,,PG/SG
,,,,,,,,,,,,,95766-145489:Killian Hayes,95766-145489,PG,Killian,Killian Hayes,Hayes,22.971429007394000,7,5400,GS@DET,DET,GS,,,,,,PG
,,,,,,,,,,,,,95766-42156:Bobby Portis,95766-42156,PF/C,Bobby,Bobby Portis,Portis,22.73999938964840,5,5400,MIL@BKN,MIL,BKN,,,,,,PF/C
,,,,,,,,,,,,,95766-14509:Klay Thompson,95766-14509,SG,Klay,Klay Thompson,Thompson,25.399998982747400,6,5400,GS@DET,GS,DET,,,,,,SG
,,,,,,,,,,,,,95766-84704:Kevin Huerter,95766-84704,SG/SF,Kevin,Kevin Huerter,Huerter,19.58000030517580,5,5400,SAC@HOU,SAC,HOU,,,,,,SG/SF
,,,,,,,,,,,,,95766-110325:Daniel Gafford,95766-110325,C,Daniel,Daniel Gafford,Gafford,20.566666920979800,3,5400,WAS@PHI,WAS,PHI,GTD,Ankle,,,,C
,,,,,,,,,,,,,95766-23665:Buddy Hield,95766-23665,SG/SF,Buddy,Buddy Hield,Hield,24.76666768391930,6,5300,SA@IND,IND,SA,,,,,,SG/SF
,,,,,,,,,,,,,95766-157812:Davion Mitchell,95766-157812,PG,Davion,Davion Mitchell,Mitchell,13.939999389648400,5,5300,SAC@HOU,SAC,HOU,,,,,,PG
,,,,,,,,,,,,,95766-58576:Kevon Looney,95766-58576,C,Kevon,Kevon Looney,Looney,25.114286150251100,7,5300,GS@DET,GS,DET,,,,,,C
,,,,,,,,,,,,,95766-9575:Mike Conley,95766-9575,PG,Mike,Mike Conley,Conley,24.539999389648400,5,5300,BOS@MIN,MIN,BOS,,,,,,PG
,,,,,,,,,,,,,95766-84694:Bruce Brown,95766-84694,SF,Bruce,Bruce Brown,Brown,22.183334350585900,6,5300,SA@IND,IND,SA,,,,,,SF
,,,,,,,,,,,,,95766-110318:Grant Williams,95766-110318,PF,Grant,Grant Williams,Williams,25.133333841959600,6,5300,DAL@ORL,DAL,ORL,,,,,,PF
,,,,,,,,,,,,,95766-42202:Christian Wood,95766-42202,PF/C,Christian,Christian Wood,Wood,20.616666158040400,6,5200,LAL@MIA,LAL,MIA,,,,,,PF/C
,,,,,,,,,,,,,95766-15946:Harrison Barnes,95766-15946,SF/PF,Harrison,Harrison Barnes,Barnes,22.76000061035160,5,5200,SAC@HOU,SAC,HOU,,,,,,SF/PF
,,,,,,,,,,,,,95766-84703:De'Anthony Melton,95766-84703,PG/SG,De'Anthony,De'Anthony Melton,Melton,22.539999389648400,5,5200,WAS@PHI,PHI,WAS,,,,,,PG/SG
,,,,,,,,,,,,,95766-16293:Norman Powell,95766-16293,SF/SG,Norman,Norman Powell,Powell,21.860000610351600,5,5200,LAC@NY,LAC,NY,,,,,,SG/SF
,,,,,,,,,,,,,95766-40562:Josh Hart,95766-40562,SG/SF,Josh,Josh Hart,Hart,20.0500005086263,6,5100,LAC@NY,NY,LAC,,,,,,SG/SF
,,,,,,,,,,,,,95766-171746:Bennedict Mathurin,95766-171746,SG/SF,Bennedict,Bennedict Mathurin,Mathurin,19.233333587646500,6,5100,SA@IND,IND,SA,,,,,,SG/SF
,,,,,,,,,,,,,95766-84714:Moritz Wagner,95766-84714,C,Moritz,Moritz Wagner,Wagner,18.71666717529300,6,5100,DAL@ORL,ORL,DAL,,,,,,C
,,,,,,,,,,,,,95766-145328:Saddiq Bey,95766-145328,SF,Saddiq,Saddiq Bey,Bey,23.51666768391930,6,5100,ATL@OKC,ATL,OKC,,,,,,SF
,,,,,,,,,,,,,95766-16376:Dorian Finney-Smith,95766-16376,SF/PF,Dorian,Dorian Finney-Smith,Finney-Smith,24.850001017252600,6,5100,MIL@BKN,BKN,MIL,,,,,,SF/PF
